sku,str,sales,regn,chnl,cntry,item,item_type,subclss,clss,dept,dvsn,cmpy
aa02,S001,95575,georgia,catalog,US,a2c4,a348,ws2515,w14,csj14,fshon,retailer
aa02,S002,97388,georgia,liqwarehouse,US,a2c4,a348,ws2515,w14,csj14,fshon,retailer
aa02,S003,99232,georgia,outlets,US,a2c4,a348,ws2515,w14,csj14,fshon,retailer
aa02,S004,92487,georgia,stores,US,a2c4,a348,ws2515,w14,csj14,fshon,retailer
aa02,S005,100224,georgia,warehouse,US,a2c4,a348,ws2515,w14,csj14,fshon,retailer
aa02,S006,102310,georgia,web,US,a2c4,a348,ws2515,w14,csj14,fshon,retailer
aa02,S007,112009,georgia,wholesale,US,a2c4,a348,ws2515,w14,csj14,fshon,retailer
aa02,S008,92921,georgia,catalog,US,a2c4,a348,ws2515,w14,csj14,fshon,retailer
aa02,S009,110955,georgia,liqwarehouse,US,a2c4,a348,ws2515,w14,csj14,fshon,retailer
aa02,S010,104156,georgia,outlets,US,a2c4,a348,ws2515,w14,csj14,fshon,retailer
aa02,S011,102338,georgia,stores,US,a2c4,a348,ws2515,w14,csj14,fshon,retailer
aa02,S012,107094,georgia,warehouse,US,a2c4,a348,ws2515,w14,csj14,fshon,retailer
aa02,S013,99487,georgia,web,US,a2c4,a348,ws2515,w14,csj14,fshon,retailer
aa02,S014,94977,georgia,wholesale,US,a2c4,a348,ws2515,w14,csj14,fshon,retailer
aa02,S015,100339,georgia,catalog,US,a2c4,a348,ws2515,w14,csj14,fshon,retailer
aa02,S016,101830,georgia,liqwarehouse,US,a2c4,a348,ws2515,w14,csj14,fshon,retailer
aa02,S017,98513,georgia,catalog,US,a2c4,a348,ws2515,w14,csj14,fshon,retailer
aa02,S018,104108,georgia,liqwarehouse,US,a2c4,a348,ws2515,w14,csj14,fshon,retailer
aa02,S019,104915,georgia,outlets,US,a2c4,a348,ws2515,w14,csj14,fshon,retailer
aa02,S020,101784,georgia,stores,US,a2c4,a348,ws2515,w14,csj14,fshon,retailer
aa02,S021,103688,florida,warehouse,US,a2c4,a348,ws2515,w14,csj14,fshon,retailer
aa02,S022,100924,florida,web,US,a2c4,a348,ws2515,w14,csj14,fshon,retailer
aa02,S023,101640,florida,wholesale,US,a2c4,a348,ws2515,w14,csj14,fshon,retailer
aa02,S024,104090,florida,catalog,US,a2c4,a348,ws2515,w14,csj14,fshon,retailer
aa02,S025,99891,florida,liqwarehouse,US,a2c4,a348,ws2515,w14,csj14,fshon,retailer
aa02,S026,100791,florida,outlets,US,a2c4,a348,ws2515,w14,csj14,fshon,retailer
aa02,S027,102166,florida,stores,US,a2c4,a348,ws2515,w14,csj14,fshon,retailer
